ecotype_id	5_FT10
430	NA
992	100.0
997	96.3
1002	100.0
1066	123.0
1435	60.5
5726	NA
5748	NA
5830	98.0
5831	105.0
5832	87.0
5837	57.0
5856	118.7
5867	122.5
6009	98.0
6012	94.5
6013	101.3
6016	75.0
6017	85.0
6019	103.3
6020	103.8
6021	102.0
6023	93.5
6024	104.0
6025	101.0
6030	105.0
6034	91.5
6035	84.0
6036	82.5
6038	85.8
6039	66.0
6040	71.0
6041	73.0
6042	56.0
6043	90.0
6046	93.0
6064	96.0
6069	111.0
6070	96.0
6071	109.0
6073	106.8
6074	91.0
6076	115.0
6085	125.0
6086	92.5
6088	92.6667
6090	92.0
6092	104.0
6097	114.5
6098	85.0
6099	111.0
6100	115.0
6102	118.0
6104	101.0
6106	105.0
6107	113.0
6108	73.5
6111	116.0
6112	97.0
6113	123.25
6114	103.5
6125	108.0
6126	119.7
6128	117.0
6131	109.0
6132	103.3
6133	105.0
6136	86.0
6137	86.3
6138	83.0
6140	86.0
6142	90.0
6145	100.0
6148	90.0
6150	83.5
6151	108.0
6154	109.0
6163	107.5
6166	107.5
6169	91.5
6171	104.0
6172	80.0
6173	89.5
6174	91.0
6177	89.0
6180	58.5
6184	85.3
6188	59.0
6189	73.0
6193	71.0
6194	108.8
6195	68.0
6198	78.5
6201	91.3
6202	115.0
6209	90.0
6210	89.3
6216	117.5
6217	90.7
6218	106.0
6220	96.5
6231	110.0
6238	99.0
6240	91.0
6241	91.0
6242	93.5
6243	56.0
6244	107.5
6255	104.5
6258	107.0
6268	108.0
6276	109.0
6284	106.5
6800	NA
6836	NA
6897	62.0
6898	41.0
6900	90.0
6901	86.0
6903	57.0
6904	66.0
6913	99.0
6915	53.0
6917	121.0
6918	108.0
6919	71.0
6921	64.0
6922	48.0
6926	49.0
6929	71.0
6938	63.0
6940	49.0
6945	55.0
6951	68.0
6958	49.0
6961	46.0
6963	60.0
6964	93.0
6965	102.0
6967	44.0
6968	71.0
6970	48.0
6973	53.0
6974	103.0
6975	51.0
6977	49.0
6981	44.0
6982	49.0
6983	71.0
6986	NA
6990	73.0
6992	NA
6994	87.0
7000	65.0
7002	89.0
7003	NA
7008	NA
7014	92.0
7015	NA
7025	NA
7026	59.0
7028	NA
7031	72.5
7036	NA
7061	NA
7068	NA
7071	64.0
7072	NA
7092	74.0
7096	NA
7102	NA
7103	NA
7106	NA
7107	NA
7117	NA
7125	NA
7126	NA
7130	NA
7133	NA
7138	NA
7143	64.0
7162	NA
7163	57.0
7164	NA
7165	NA
7166	65.5
7169	NA
7174	NA
7175	NA
7177	NA
7181	NA
7183	46.0
7199	49.0
7203	NA
7206	44.0
7208	NA
7217	NA
7218	NA
7235	NA
7236	NA
7244	58.0
7252	NA
7255	46.0
7276	NA
7280	59.0
7287	NA
7293	NA
7298	NA
7300	61.0
7305	NA
7306	60.0
7314	NA
7316	98.0
7318	NA
7319	NA
7320	87.0
7332	NA
7333	50.0
7337	59.0
7342	NA
7343	62.0
7344	57.5
7347	NA
7349	NA
7351	98.3
7353	NA
7354	NA
7372	NA
7375	NA
7378	76.0
7384	95.8
7387	NA
7404	NA
7411	64.0
7421	NA
7424	43.0
7427	NA
7430	NA
7458	NA
7514	58.0
7516	100.0
7517	107.0
7518	103.0
8213	44.0
8222	90.0
8230	97.0
8231	91.0
8237	97.0
8240	93.0
8241	73.0
8242	120.0
8247	87.0
8249	81.0
8256	61.0
8258	73.0
8259	73.0
8283	71.0
8306	96.0
8334	64.0
8335	104.0
8369	76.0
8376	84.0
8386	69.0
8387	52.0
8422	106.0
9057	76.0
9058	101.0
9321	100.0
9323	100.3
9371	106.3
9382	99.3
9386	117.0
9388	118.8
9390	69.5
9391	73.0
9394	103.5
9395	97.5
9399	101.8
9402	92.5
9404	99.0
9405	85.8
9407	91.5
9408	111.8
9409	105.0
9412	86.5
9416	115.0
9421	105.0
9427	91.0
9433	121.0
9434	108.3
9437	77.0
9442	108.7
9450	89.8
9451	111.0
9452	106.0
9453	98.0
9454	104.8
9455	100.0
9470	90.7
9471	86.0
9476	105.0
9481	107.0
